localization_id,english,español
name_circles,The Circles,The Circles
name_stats,Character Stats,Character Stats
name_circles_ratings_vs_status,Ratings  vs Status,Ratings  vs Status
name_marking_circles,Marking Circles,Marking Circles
name_harm,Trcking Harm,Trcking Harm
name_armor,Armor,Armor
name_scars,Scars,Scars
blurb_circles,"**• Mortalis:** Humans who cross the boundary between the mortal and the supernatural to protect humanity, investigate secrets in the shadows, or steal power from the monsters.
**• Night:** People who have been irrevocably changed into creatures of the night and monsters of the shadows.
Vampires, werewolves, and ghosts all belong to Night.
**• Power:** Entities who have obtained supernatural power or gifts through training, blessing, or curse.
Wizards, oracles, and immortals all belong to Power.
**• Wild:** Strange beings who hail from outside our world. 
Faeries and demons belong to Wild, and many creatures bizarre and strange #nd a home in Wild as well.","**• Mortalis:** Humans who cross the boundary between the mortal and the supernatural to protect humanity, investigate secrets in the shadows, or steal power from the monsters.
**• Night:** People who have been irrevocably changed into creatures of the night and monsters of the shadows.
Vampires, werewolves, and ghosts all belong to Night.
**• Power:** Entities who have obtained supernatural power or gifts through training, blessing, or curse.
Wizards, oracles, and immortals all belong to Power.
**• Wild:** Strange beings who hail from outside our world. 
Faeries and demons belong to Wild, and many creatures bizarre and strange #nd a home in Wild as well."
blurb_stats,"• Blood is the measure of your fight or flight instinct. 
It tells us how tough, dangerous, coiled, and quick to act your character is in a dangerous situation.
• Heart is the sum of your passion, charm, and charisma.
It tells us how pro#cient your character is at getting what they want through negotiation and discussion.
• Mind is a re%ection of your critical thinking and observational skills. 
It tells us how perceptive your character is and how good they are at deceiving others.
• Spirit gauges your connection to the “other” and your force of will. 
It tells us how focused your character is under pressure, and what kind of connection they have to the supernatural.","• Blood is the measure of your fight or flight instinct. 
It tells us how tough, dangerous, coiled, and quick to act your character is in a dangerous situation.
• Heart is the sum of your passion, charm, and charisma.
It tells us how pro#cient your character is at getting what they want through negotiation and discussion.
• Mind is a re%ection of your critical thinking and observational skills. 
It tells us how perceptive your character is and how good they are at deceiving others.
• Spirit gauges your connection to the “other” and your force of will. 
It tells us how focused your character is under pressure, and what kind of connection they have to the supernatural."
blurb_circles_raings_vs_status,"**Ratings**
Each character also has __Circle ratings__ which represent how well your character understands that specific Circle. 
A character with a high rating has contacts and connections, and can easily interpret rumors and gossip; a character with a low rating in a particular Circle doesn’t understand how that Circle works or who the players are within that community.

**Status**
__Circle Status__ represents how members of that Circle view your character. 
Only relatively major players in the supernatural world warrant Circle Status: ordinary mortals don’t have any Status at all, and most of the minions and goons that serve the powers-that-be in the city don’t have any Status either.","**Ratings**
Each character also has __Circle ratings__ which represent how well your character understands that specific Circle. 
A character with a high rating has contacts and connections, and can easily interpret rumors and gossip; a character with a low rating in a particular Circle doesn’t understand how that Circle works or who the players are within that community.

**Status**
__Circle Status__ represents how members of that Circle view your character. 
Only relatively major players in the supernatural world warrant Circle Status: ordinary mortals don’t have any Status at all, and most of the minions and goons that serve the powers-that-be in the city don’t have any Status either."
