localization_id,english,español
title_basic_move,Basic Moves,Basic Moves
name_just_roll,Just Roll,Just Roll
name_violence,Turn To Violence,Turn To Violence
name_escape,Escape a Situation,Escape a Situation
name_persuade,Persuade an NPC,Persuade an NPC
name_figure,Figure Someone Out,Figure Someone Out
name_mislead,"Mislead, Distract, or Trick","Mislead, Distract, or Trick"
name_cool,Keep your Cool,Keep your Cool
name_let_out,Let it Out,Let it Out
name_hand,Lend ad Hand or Get in the Way,Lend ad Hand or Get in the Way
name_eos_basic,End of Session,End of Session
trigger_just_roll,When you just roll 2d6 with any modifier,When you just roll 2d6 with any modifier
trigger_violence,**When you turn to violence**,**When you turn to violence**
trigger_escape,**When you take advantage of an opening to escape a situation**,**When you take advantage of an opening to escape a situation**
trigger_persuade,"**When you persuade an NPC with seduction, promises, or threats,** ","**When you persuade an NPC with seduction, promises, or threats,** "
trigger_figure,**When you try to figure someone out** ,**When you try to figure someone out** 
trigger_mislead,"**When you try to mislead, distract, or trick someone** ","**When you try to mislead, distract, or trick someone** "
trigger_cool,**When things get real and you keep your cool** ,**When things get real and you keep your cool** 
trigger_let_out,**When you let out the power within you**,**When you let out the power within you**
trigger_hand,**When you lend a hand or get in the way after a PC has rolled**,**When you lend a hand or get in the way after a PC has rolled**
trigger_eos_basic,**At the end of every session**,**At the end of every session**
blurb_just_roll,` `,` `
blurb_violence,"__Roll with Blood__
**On a hit**, you inflict harm as established and your opposition chooses 1:
**•** they inflict harm on you
**•** they put you in a bad spot
**•** they create an opening to flee

**On a 10+**, you also choose one:
**•** you inflict terrible harm
**•** you take something from them
**•** you create an opportunity for an ally","__Roll with Blood__
**On a hit**, you inflict harm as established and your opposition chooses 1:
**•** they inflict harm on you
**•** they put you in a bad spot
**•** they create an opening to flee

**On a 10+**, you also choose one:
**•** you inflict terrible harm
**•** you take something from them
**•** you create an opportunity for an ally"
blurb_escape,"__Roll with Blood__
**On a hit**, you get away and choose 1. 
**On a 7-9**, the MC chooses 1 as well:

**•** you suffer harm during your escape
**•** you end up in another dangerous situation
**•** you leave something important behind
**•** you owe an NPC a Debt for their aid
**•** you give into your base nature and mark corruption","__Roll with Blood__
**On a hit**, you get away and choose 1. 
**On a 7-9**, the MC chooses 1 as well:

**•** you suffer harm during your escape
**•** you end up in another dangerous situation
**•** you leave something important behind
**•** you owe an NPC a Debt for their aid
**•** you give into your base nature and mark corruption"
blurb_persuade,"__Roll with Heart__
**On a hit**, they see your point and do as you ask. 
**On a 7-9**, they counter your offer or demand payment—a Debt, a favor, resources—before agreeing to follow through. 

If you cash in a Debt with the NPC before you roll, add +3 to your total.","__Roll with Heart__
**On a hit**, they see your point and do as you ask. 
**On a 7-9**, they counter your offer or demand payment—a Debt, a favor, resources—before agreeing to follow through. 

If you cash in a Debt with the NPC before you roll, add +3 to your total."
blurb_figure,"__Roll with Mind__
**On a hit**, ask 2. 
**On a 7-9**, they ask 1 of you as well. 
If you’re __in their Circle,__ ask an additional question, **even on a miss**.
**•** who’s pulling your character’s strings?
**•** what’s your character’s beef with _____?
**•** what’s your character hoping to get from _____?
**•** what does your character worry is going to happen?
**•** how could I get your character to _____?
**•** how could I put your character in my Debt?","__Roll with Mind__
**On a hit**, ask 2. 
**On a 7-9**, they ask 1 of you as well. 
If you’re __in their Circle,__ ask an additional question, **even on a miss**.
**•** who’s pulling your character’s strings?
**•** what’s your character’s beef with _____?
**•** what’s your character hoping to get from _____?
**•** what does your character worry is going to happen?
**•** how could I get your character to _____?
**•** how could I put your character in my Debt?"
blurb_mislead,"__Roll with Mind. __
**On a hit**, they are fooled, at least for a moment. 
**On a 7-9**, pick 2:
**On a 10+**, pick 3:
 
**•** you create an opportunity
**•** you expose a weakness or flaw
**•** you confuse them for some time
**•** you avoid further entanglement","__Roll with Mind. __
**On a hit**, they are fooled, at least for a moment. 
**On a 7-9**, pick 2:
**On a 10+**, pick 3:
 
**•** you create an opportunity
**•** you expose a weakness or flaw
**•** you confuse them for some time
**•** you avoid further entanglement"
blurb_cool,"Tell the MC the situation you want to avoid and __roll with Spirit__
**On a 10+**, all’s well. 
**On a 7–9**, the MC will tell you what it’s gonna cost you.","Tell the MC the situation you want to avoid and __roll with Spirit__
**On a 10+**, all’s well. 
**On a 7–9**, the MC will tell you what it’s gonna cost you."
blurb_let_out,"Choose an ability from your playbook and __roll with Spirit.__ 
**On a hit**, mark corruption and activate the ability; the MC will tell you how the effect is costly, limited, or unstable. 
**On a 10+**, ignore the corruption or the complications, your choice.","Choose an ability from your playbook and __roll with Spirit.__ 
**On a hit**, mark corruption and activate the ability; the MC will tell you how the effect is costly, limited, or unstable. 
**On a 10+**, ignore the corruption or the complications, your choice."
blurb_hand,"__Roll with their Circle__ 
**On a hit**, give them a +1 or -2 to their roll.
**On a 7-9**, you expose yourself to danger, entanglement, or cost.","__Roll with their Circle__ 
**On a hit**, give them a +1 or -2 to their roll.
**On a 7-9**, you expose yourself to danger, entanglement, or cost."
blurb_eos_basic,"Decide if you’ve grown closer to a Circle you engaged with this session:
Increase your score in that Circle and decrease your score in a different Circle. Tell the MC how your relationships to these communities have changed because of the events of the story, and mark one of the two Circles involved in those changes.

In addition, think about any Debts you may owe—or Debts that are owed to you—as a result of the session. Tell the group and note them down for next session.","Decide if you’ve grown closer to a Circle you engaged with this session:
Increase your score in that Circle and decrease your score in a different Circle. Tell the MC how your relationships to these communities have changed because of the events of the story, and mark one of the two Circles involved in those changes.

In addition, think about any Debts you may owe—or Debts that are owed to you—as a result of the session. Tell the group and note them down for next session."
tittle_circle_move,Circle Moves,Circle Moves
name_put_name,Put a Name to a Face,Put a Name to a Face
name_hit_streets,Hit the Streets,Hit the Streets
name_study_place,Strudy a Place of Power,Strudy a Place of Power
trigger_put_name,**When you put a name to a face or vice versa** ,**When you put a name to a face or vice versa** 
trigger_hit_streets,**When you hit the streets to get what you need**,**When you hit the streets to get what you need**
trigger_study_place,"**When you study a sanctuary, gathering spot, or place of power**","**When you study a sanctuary, gathering spot, or place of power**"
blrub_put_name,"__Roll with their Circle__
**On a hit**, you know their reputation; the MC will tell you what most people know about them. 
**On a 10+**, you’ve dealt with them before; learn something interesting and useful about them or they owe you a Debt, your choice. 
**On a miss**, you don’t know them or you owe them, MC’s choice.","__Roll with their Circle__
**On a hit**, you know their reputation; the MC will tell you what most people know about them. 
**On a 10+**, you’ve dealt with them before; learn something interesting and useful about them or they owe you a Debt, your choice. 
**On a miss**, you don’t know them or you owe them, MC’s choice."
blrub_hit_streets,"Name who you’re going to and __roll with their Circle.__ 
**On a hit**, they’re available and have the stuff. 
**On a 7-9**, choose 1:

**•** whoever you’re going to is juggling their own problems
**•** whatever you need is more costly than anticipated","Name who you’re going to and __roll with their Circle.__ 
**On a hit**, they’re available and have the stuff. 
**On a 7-9**, choose 1:

**•** whoever you’re going to is juggling their own problems
**•** whatever you need is more costly than anticipated"
