localization_id,english,español
name_aware_know_guy,I Know a Guy,I Know a Guy
name_aware_charming,"Charming, Not Sincere","Charming, Not Sincere"
name_aware_lions_den,The Lion's Den ,The Lion's Den 
name_aware_my_city,This is My City,This is My City
name_aware_sheeps_cloths,In Sheep’s Clothing,In Sheep’s Clothing
name_aware_one_way,One Way or Another,One Way or Another
name_aware_let_out,Let it Out,Let it Out
name_aware_end,End,End
name_aware_tend_relations,Tending to your Relationships,Tending to your Relationships
name_aware_kit,Your Kit,Your Kit
name_aware_intimacy,Initmacy,Initmacy
name_aware_too_deep,In Too Deep,In Too Deep
name_aware_cant_beat,If You Can’t Beat ‘Em,If You Can’t Beat ‘Em
name_aware_agent,Free Agent,Free Agent
name_aware_sticky,Sticky Fingers,Sticky Fingers
trigger_aware_know_guy,**When you hit the streets to get what you need from a member of your Circle.**,**When you hit the streets to get what you need from a member of your Circle.**
trigger_aware_charming,` `,` `
trigger_aware_lions_den,"**When you gain access to a secure area within a sanctuary, gathering spot, or place of power**","**When you gain access to a secure area within a sanctuary, gathering spot, or place of power**"
trigger_aware_my_city,"**When you set up a meeting with a powerful or dangerous individual in a crowded mundane space (museum, restaurant, etc.),**","**When you set up a meeting with a powerful or dangerous individual in a crowded mundane space (museum, restaurant, etc.),**"
trigger_aware_sheeps_cloths,"**When you mislead, distract or trick someone you’ve previously shared a moment of iintimacy with,**","**When you mislead, distract or trick someone you’ve previously shared a moment of iintimacy with,**"
trigger_aware_one_way,"**When you plead with a member of your Circle for help with a pressing situation,**","**When you plead with a member of your Circle for help with a pressing situation,**"
trigger_aware_let_out,**When you let out the power within you**,**When you let out the power within you**
trigger_aware_end,**When you die**,**When you die**
trigger_aware_tend_relations,**When you tend to your mortal relationships during the faction turn**,**When you tend to your mortal relationships during the faction turn**
trigger_aware_kit,"**When you go to your kit for some mundane gear—road flares, first aid kit, etc—useful to the situation**","**When you go to your kit for some mundane gear—road flares, first aid kit, etc—useful to the situation**"
trigger_aware_intimacy,**When you share a moment of intimacy—physical or emotional— with someone new who isn’t mortal**,**When you share a moment of intimacy—physical or emotional— with someone new who isn’t mortal**
trigger_aware_too_deep,` `,` `
trigger_aware_cant_beat,` `,` `
trigger_aware_agent,` `,` `
trigger_aware_sticky,` `,` `
blurb_aware_know_guy,"Name who you’re going to and __roll with HEART__ instead of their Circle.  
**On a hit**, they’re available and have the stuff. 
**On a 7-9**, choose 1:
**•** whoever you’re going to is juggling their own problems
**•** whatever you need is more costly than anticipated
**•** however you find them requires you to over a Debt to an intermediary **[ know a guy extra option ]**
","Name who you’re going to and __roll with HEART__ instead of their Circle.  
**On a hit**, they’re available and have the stuff. 
**On a 7-9**, choose 1:
**•** whoever you’re going to is juggling their own problems
**•** whatever you need is more costly than anticipated
**•** however you find them requires you to over a Debt to an intermediary **[ know a guy extra option ]**
"
blurb_aware_charming,Take +1 Heart (max+3),Take +1 Heart (max+3)
