localization_id,english,español
name_imp_business_usual,Business as Unusual,Business as Unusual
name_imp_measure,Measure Your Mark,Measure Your Mark
name_imp_friends_places,Friends in Low Places,Friends in Low Places
name_imp_fucking_demon,I’m a Fucking Demon,I’m a Fucking Demon
name_imp_weasel,Weasel Words,Weasel Words
name_imp_let_out,Let it Out,Let it Out
name_imp_end,End,End
name_imp_intimacy,Intimacy,Intimacy
name_imp_how_win,This is How  I Win,This is How  I Win
name_imp_dirty_money,Dirty Money,Dirty Money
name_imp_sweeten,Sweeten the Deal,Sweeten the Deal
name_imp_shit_list,On the Shit List,On the Shit List
trigger_imp_business_usual,**When time passes—or at the start of the game—**,**When time passes—or at the start of the game—**
trigger_imp_measure,**When you figure someone out**,**When you figure someone out**
trigger_imp_friends_places,**When you get a hit while putting a face to a name with a Status-3 NPC**,**When you get a hit while putting a face to a name with a Status-3 NPC**
trigger_imp_fucking_demon,` `,` `
trigger_imp_weasel,"**When you refuse to honor a Debt by fast-talking your way out of the obligation,**","**When you refuse to honor a Debt by fast-talking your way out of the obligation,**"
trigger_imp_let_out,**When you let out the power within you**,**When you let out the power within you**
trigger_imp_end,"**When you die,**","**When you die,**"
trigger_imp_intimacy,"**When you share a moment of intimacy—physical or emotional—with another person,**","**When you share a moment of intimacy—physical or emotional—with another person,**"
trigger_imp_how_win,` `,` `
trigger_imp_dirty_money,` `,` `
trigger_imp_sweeten,` `,` `
trigger_imp_shit_list,` `,` `
blurb_imp_business_usual,"__Roll with Mind.__
**On a hit,** your usual operations generate a new scheme or provide an opportunity to advance one of your existing schemes, your choice. 
**On a 10+,** you also pick 1: 
**•** A loyal customer reveals the secrets of a powerful NPC, your choice 
**•** An NPC who owes you a Debt appears to make good on their obligation 
**•** A Status-3 NPC of your Circle offers you a Debt for your services 

**On a miss,** a family member or close friend drags you into a scheme you’d rather have avoided; generate a new scheme with three complications, and the MC will tell you what terrible fate could befall your ally should you fail to deliver.
 
","__Roll with Mind.__
**On a hit,** your usual operations generate a new scheme or provide an opportunity to advance one of your existing schemes, your choice. 
**On a 10+,** you also pick 1: 
**•** A loyal customer reveals the secrets of a powerful NPC, your choice 
**•** An NPC who owes you a Debt appears to make good on their obligation 
**•** A Status-3 NPC of your Circle offers you a Debt for your services 

**On a miss,** a family member or close friend drags you into a scheme you’d rather have avoided; generate a new scheme with three complications, and the MC will tell you what terrible fate could befall your ally should you fail to deliver.
 
"
blurb_imp_measure,"Add the following questions to the list: 
•What pressing need do you have that I might be able to address? 
•What’s the most valuable thing you’d offer for sale? 
**On a miss, ask 1 from this list,** but you come o as suspicious or sleazy, your choice.

Figure Someone Out
__Roll with Mind__
**On a hit**, ask 2. 
**On a 7-9**, they ask 1 of you as well. 
If you’re __in their Circle,__ ask an additional question, **even on a miss**.
**•** who’s pulling your character’s strings?
**•** what’s your character’s beef with _____?
**•** what’s your character hoping to get from _____?
**•** what does your character worry is going to happen?
**•** how could I get your character to _____?
**•** how could I put your character in my Debt?","Add the following questions to the list: 
•What pressing need do you have that I might be able to address? 
•What’s the most valuable thing you’d offer for sale? 
**On a miss, ask 1 from this list,** but you come o as suspicious or sleazy, your choice.

Figure Someone Out
__Roll with Mind__
**On a hit**, ask 2. 
**On a 7-9**, they ask 1 of you as well. 
If you’re __in their Circle,__ ask an additional question, **even on a miss**.
**•** who’s pulling your character’s strings?
**•** what’s your character’s beef with _____?
**•** what’s your character hoping to get from _____?
**•** what does your character worry is going to happen?
**•** how could I get your character to _____?
**•** how could I put your character in my Debt?"
blurb_imp_friends_places,"Also name a low-level minion or assistant who works for them and describe how this underling recently came to owe you a Debt.

Putting a Face to a Name
__Roll with their Circle__
**On a hit**, you know their reputation; the MC will tell you what most people know about them. 
**On a 10+**, you’ve dealt with them before; learn something interesting and useful about them or they owe you a Debt, your choice. 
**On a miss**, you don’t know them or you owe them, MC’s choice.","Also name a low-level minion or assistant who works for them and describe how this underling recently came to owe you a Debt.

Putting a Face to a Name
__Roll with their Circle__
**On a hit**, you know their reputation; the MC will tell you what most people know about them. 
**On a 10+**, you’ve dealt with them before; learn something interesting and useful about them or they owe you a Debt, your choice. 
**On a miss**, you don’t know them or you owe them, MC’s choice."
blurb_imp_fucking_demon,"Ignore all harm the first time someone inflicts at least 2-harm upon you in a scene. 
At the end of each scene, clear your Faint harm box.","Ignore all harm the first time someone inflicts at least 2-harm upon you in a scene. 
At the end of each scene, clear your Faint harm box."
blurb_imp_weasel,"__Roll with Mind__ instead of the difference in Status. 
**On a hit**—in addition to the normal effects—mark your debtor’s Circle as though you had honored the Debt.

**Refuse to Honor a Debt**
**On a hit**, you weasel out of the obligation for now, but you still owe the Debt. 
**On a 7-9**, you owe them an additional Debt or mark corruption, your choice. 
**On a miss**, you can’t avoid the noose: either honor the Debt in full or erase all the Debts owed to you by their Circle and take a -1 ongoing to Status with their Circle until after time passes.","__Roll with Mind__ instead of the difference in Status. 
**On a hit**—in addition to the normal effects—mark your debtor’s Circle as though you had honored the Debt.

**Refuse to Honor a Debt**
**On a hit**, you weasel out of the obligation for now, but you still owe the Debt. 
**On a 7-9**, you owe them an additional Debt or mark corruption, your choice. 
**On a miss**, you can’t avoid the noose: either honor the Debt in full or erase all the Debts owed to you by their Circle and take a -1 ongoing to Status with their Circle until after time passes."
