localization_id,english,español
name_revenant_abashed,Abashed The Devil Stood,Abashed The Devil Stood
name_revenant_vigilante,Vigilante,Vigilante
name_revenant_gasoline,Is That Gasoline I Smell?,Is That Gasoline I Smell?
name_revenant_scare,You Don’t Scare Me,You Don’t Scare Me
name_revenant_merciful,Merciful,Merciful
name_revenant_let_out,Let It Out,Let It Out
name_revenant_end,End,End
name_revenant_caul,Your Caul,Your Caul
name_revenant_daemon_battle,Your Daemon,Your Daemon
name_revenant_daemon_ask,Your Daemon,Your Daemon
name_revenant_intimacy,Intimacy,Intimacy
name_revenant_wall,Against The Wall,Against The Wall
name_revenant_dig,Dig For Answers,Dig For Answers
name_revenant_haunt,Haunt The Darkness,Haunt The Darkness
trigger_revenant_abashed,"**When you openly present yourself to your enemies,**","**When you openly present yourself to your enemies,**"
trigger_revenant_vigilante,"**When you go into a battle,**","**When you go into a battle,**"
trigger_revenant_gasoline,"**When you search a location for the resources or tools needed to destroy it,**","**When you search a location for the resources or tools needed to destroy it,**"
trigger_revenant_scare,"**You have a mortal confidante who believes in your cause. When you go to them for solace, comfort, or protection,**","**You have a mortal confidante who believes in your cause. When you go to them for solace, comfort, or protection,**"
trigger_revenant_merciful,"**When you inflict harm on someone,**","**When you inflict harm on someone,**"
trigger_revenant_let_out,**When you let out the power within you**,**When you let out the power within you**
trigger_revenant_end,"**When you die or retire your character,**","**When you die or retire your character,**"
trigger_revenant_caul,"**When you cross out all the names in your caul,**","**When you cross out all the names in your caul,**"
trigger_revenant_daemon_battle,"**When your daemon stands with you in battle,**","**When your daemon stands with you in battle,**"
trigger_revenant_daemon_ask,"**When you ask your daemon to add someone who was involved in your death to your caul,**","**When you ask your daemon to add someone who was involved in your death to your caul,**"
trigger_revenant_intimacy,**When you share a moment of intimacy— physical or emotional—**,**When you share a moment of intimacy— physical or emotional—**
trigger_revenant_wall,"**Strike out escape a situation; take +1 Blood (max+4). When you are cornered by your enemies,**",**Strike out escape a situation;**
trigger_revenant_dig,"**Strike out figure someone out; take +1 Heart When you hurt someone to get information,**",**Strike out figure someone out;**
trigger_revenant_haunt,"**Strike out mislead, distract or trick; take +1 Spirit. When you terrorize someone from the shadows,**","**Strike out mislead, distract or trick;**"
