localization_id,english,español
name_sworn_protect,Protect and Serve,Protect and Serve
name_sworn_hard_shake,Hard to Shake,Hard to Shake
name_sworn_devious,Devious,Devious
name_sworn_genuine,Genuine Police,Genuine Police
name_sworn_chess,Chess Not Checkers,Chess Not Checkers
name_sworn_let_out,Let it Out,Let it Out
name_sworn_end,End,End
name_sworn_legendary_cool,Keep your Cool with your Legendary Weapon,Keep your Cool with your Legendary Weapon
name_sworn_intimacy,Intimacy,Intimacy
name_sworn_ahead,Ahead of the Game,Ahead of the Game
name_sworn_pigeons,Stool Pigeons,Stool Pigeons
name_sworn_student,Student of the Arts,Student of the Arts
name_sworn_affairs,Infernal Affairs,Infernal Affairs
trigger_sworn_protect,"**When you read a charged situation,**","**When you read a charged situation,**"
trigger_sworn_hard_shake,"**When you follow an NPC through the streets of the city,**","**When you follow an NPC through the streets of the city,**"
trigger_sworn_devious,` `,` `
trigger_sworn_genuine,"**When you put a face to a name or study a sanctuary, gathering spot, or place of
power**","**When you put a face to a name or study a sanctuary, gathering spot, or place of
power**"
trigger_sworn_chess,"**When you turn to violence with any kind of serious advantage—numbers, position, surprise, etc.—and get a hit, **
","**When you turn to violence with any kind of serious advantage—numbers, position, surprise, etc.—and get a hit, **
"
trigger_sworn_let_out,**When you let out the power within you**,**When you let out the power within you**
trigger_sworn_end,"**When you die or retire your character,** ","**When you die or retire your character,** "
trigger_sworn_legendary_cool,"**When you wield the weapon in the service of your masters,** ","**When you wield the weapon in the service of your masters,** "
trigger_sworn_intimacy,"**When you share a moment of intimacy—physical or emotional—with another person,**","**When you share a moment of intimacy—physical or emotional—with another person,**"
trigger_sworn_ahead,` `,` `
trigger_sworn_pigeons,` `,` `
trigger_sworn_student,` `,` `
trigger_sworn_affairs,` `,` `
blurb_sworn_protect,"__Roll with Mind.__ 
**On a hit,** ask the MC questions; take +1 when you act on the answers. 
**On a 10+,** ask 2. 
**On a 7-9,** ask 1.
**•** where’s my escape route / way in / way past?
**•** which enemy is most vulnerable to me?
**•** what should I be on the lookout for?
**•** what’s my enemy’s true position?
**•** who here can’t be trusted?

**On a miss,** you recognize a weakness in your own position or preparations you should have seen coming.","__Roll with Mind.__ 
**On a hit,** ask the MC questions; take +1 when you act on the answers. 
**On a 10+,** ask 2. 
**On a 7-9,** ask 1.
**•** where’s my escape route / way in / way past?
**•** which enemy is most vulnerable to me?
**•** what should I be on the lookout for?
**•** what’s my enemy’s true position?
**•** who here can’t be trusted?

**On a miss,** you recognize a weakness in your own position or preparations you should have seen coming."
