localization_id,english,español
name_vamp_hunger,Eternal Hunger,Eternal Hunger
name_vamp_welcome,Always Welcome,Always Welcome
name_vamp_cold_blood,Cold-Blooded,Cold-Blooded
name_vamp_friends_close,Keep your Friends Close,Keep your Friends Close
name_vamp_terrifying,Terrifying,Terrifying
name_vamp_neighborhood,In the Neighborhood,In the Neighborhood
name_vamp_let_out,Let it Out,Let it Out
name_vamp_end,End Move,End Move
name_vamp_intimacy,Intimacy,Intimacy
name_vamp_true_hunter,True Hunter,True Hunter
name_vamp_pull_back,Pull them back in,Pull them back in
name_vamp_blood_magic,Blood Magic,Blood Magic
name_vamp_fake_news,Fake News,Fake News
trigger_vamp_hunger,"**When you feed on someone,** ","**When you feed on someone,** "
trigger_vamp_welcome,"**When you attempt to worm your way into a restricted location by manipulating an underling or guard, **","**When you attempt to worm your way into a restricted location by manipulating an underling or guard, **"
trigger_vamp_cold_blood,"**When you keep your cool by flouting mortal social conventions and expectations,** ","**When you keep your cool by flouting mortal social conventions and expectations,** "
trigger_vamp_friends_close,"**When you figure someone out by helping them indulge a true hunger,**","**When you figure someone out by helping them indulge a true hunger,**"
trigger_vamp_terrifying,` `,` `
trigger_vamp_neighborhood,"**When you hit the streets with someone who owes you a Debt,**","**When you hit the streets with someone who owes you a Debt,**"
trigger_vamp_let_out,**When you let out the power within you**,**When you let out the power within you**
trigger_vamp_end,"**When you die,**","**When you die,**"
trigger_vamp_intimacy,"**When you share a moment of intimacy—physical or emotional—with another person,**","**When you share a moment of intimacy—physical or emotional—with another person,**"
trigger_vamp_true_hunter,` `,` `
trigger_vamp_pull_back,` `,` `
trigger_vamp_blood_magic,` `,` `
trigger_vamp_fake_news,"**When you weaken someone’s standing via false rumors,**","**When you weaken someone’s standing via false rumors,**"
blurb_vamp_hunger,"__Roll with Blood.__ 
**On a 10+,** all 3. 
**On a 7-9,** choose 2:
**•** You heal 1-harm or take +1 forward
**•** You learn a secret about your prey
**•** Your prey doesn’t suffer 3-harm (ap)

**On a miss,**  your hunger gets the best of you, and everyone suffers.","__Roll with Blood.__ 
**On a 10+,** all 3. 
**On a 7-9,** choose 2:
**•** You heal 1-harm or take +1 forward
**•** You learn a secret about your prey
**•** Your prey doesn’t suffer 3-harm (ap)

**On a miss,**  your hunger gets the best of you, and everyone suffers."
